branch,time,ok
cryptom-01-01-mutant-cb,58.07s,True
cryptom-01-02-mutant-cb,57.56s,True
cryptom-01-03-mutant-cb,56.92s,True
cryptom-01-04-mutant-cb,57.17s,True
cryptom-01-05-mutant-cb,57.28s,True
cryptom-01-06-mutant-cb,53.95s,True
cryptom-01-07-mutant-cb,56.64s,True
cryptom-01-08-mutant-cb,53.79s,True
cryptom-01-09-mutant-cb,57.27s,True
cryptom-01-10-mutant-cb,56.75s,True
cryptom-01-base-cb,56.3s,True
cryptom-01-01-mutant-ib,68.73s,True
cryptom-01-02-mutant-ib,70.16s,True
cryptom-01-03-mutant-ib,44.04s,True
cryptom-01-04-mutant-ib,43.48s,True
cryptom-01-05-mutant-ib,44.66s,True
cryptom-01-06-mutant-ib,46.18s,True
cryptom-01-07-mutant-ib,44.97s,True
cryptom-01-08-mutant-ib,62.38s,True
cryptom-01-09-mutant-ib,51.48s,True
cryptom-01-10-mutant-ib,44.35s,True
