branch,time,ok
driversm-01-01-mutant-cb,37.8s,True
driversm-01-02-mutant-cb,36.33s,True
driversm-01-03-mutant-cb,38.41s,True
driversm-01-04-mutant-cb,36.18s,True
driversm-01-05-mutant-cb,35.94s,True
driversm-01-06-mutant-cb,35.58s,True
driversm-01-07-mutant-cb,38.94s,True
driversm-01-08-mutant-cb,37.24s,True
driversm-01-09-mutant-cb,40.64s,True
driversm-01-10-mutant-cb,37.39s,True
driversm-01-base-cb,39.14s,True
driversm-01-01-mutant-ib,31.76s,True
driversm-01-02-mutant-ib,16.02s,True
driversm-01-03-mutant-ib,16.13s,True
driversm-01-04-mutant-ib,16.2s,True
driversm-01-05-mutant-ib,16.62s,True
driversm-01-06-mutant-ib,15.8s,True
driversm-01-07-mutant-ib,15.82s,True
driversm-01-08-mutant-ib,15.67s,True
driversm-01-09-mutant-ib,28.31s,True
driversm-01-10-mutant-ib,15.76s,True
