branch,time,ok
netm-01-01-mutant-cb,27.74s,True
netm-01-02-mutant-cb,26.99s,True
netm-01-03-mutant-cb,27.77s,True
netm-01-04-mutant-cb,28.6s,True
netm-01-05-mutant-cb,27.75s,True
netm-01-06-mutant-cb,26.82s,True
netm-01-07-mutant-cb,27.52s,True
netm-01-08-mutant-cb,28.41s,True
netm-01-09-mutant-cb,27.01s,True
netm-01-10-mutant-cb,27.0s,True
netm-01-base-cb,26.86s,True
netm-01-01-mutant-ib,32.31s,True
netm-01-02-mutant-ib,22.39s,True
netm-01-03-mutant-ib,16.72s,True
netm-01-04-mutant-ib,21.81s,True
netm-01-05-mutant-ib,22.48s,True
netm-01-06-mutant-ib,19.43s,True
netm-01-07-mutant-ib,22.05s,True
netm-01-08-mutant-ib,22.3s,True
netm-01-09-mutant-ib,22.13s,True
netm-01-10-mutant-ib,21.95s,True
