branch,time,ok
randm-01-01-mutant-cb,90.48s,True
randm-01-02-mutant-cb,89.42s,True
randm-01-03-mutant-cb,86.82s,True
randm-01-04-mutant-cb,93.95s,True
randm-01-05-mutant-cb,89.73s,True
randm-01-06-mutant-cb,88.49s,True
randm-01-07-mutant-cb,88.48s,True
randm-01-08-mutant-cb,86.59s,True
randm-01-09-mutant-cb,91.12s,True
randm-01-10-mutant-cb,88.7s,True
randm-01-base-cb,90.5s,True
randm-01-01-mutant-ib,82.07s,True
randm-01-02-mutant-ib,84.41s,True
randm-01-03-mutant-ib,40.95s,True
randm-01-04-mutant-ib,72.25s,True
randm-01-05-mutant-ib,36.72s,True
randm-01-06-mutant-ib,82.6s,True
randm-01-07-mutant-ib,65.32s,True
randm-01-08-mutant-ib,36.26s,True
randm-01-09-mutant-ib,36.14s,True
randm-01-10-mutant-ib,46.97s,True
